links_link,links_Grade
https://covid19-scoreboard.unacast.com/?view=county&fips=23019,D
https://covid19-scoreboard.unacast.com/?view=county&fips=25001,F
https://covid19-scoreboard.unacast.com/?view=county&fips=9003,F
https://covid19-scoreboard.unacast.com/?view=county&fips=9009,F
https://covid19-scoreboard.unacast.com/?view=county&fips=36071,F
https://covid19-scoreboard.unacast.com/?view=county&fips=36103,F
https://covid19-scoreboard.unacast.com/?view=county&fips=36091,F
https://covid19-scoreboard.unacast.com/?view=county&fips=26025,F
https://covid19-scoreboard.unacast.com/?view=county&fips=42091,F
https://covid19-scoreboard.unacast.com/?view=county&fips=46083,F
https://covid19-scoreboard.unacast.com/?view=county&fips=55025,F
https://covid19-scoreboard.unacast.com/?view=county&fips=01073,F
https://covid19-scoreboard.unacast.com/?view=county&fips=47037,F
https://covid19-scoreboard.unacast.com/?view=county&fips=38017,F
https://covid19-scoreboard.unacast.com/?view=county&fips=39049,F
https://covid19-scoreboard.unacast.com/?view=county&fips=21111,F
https://covid19-scoreboard.unacast.com/?view=county&fips=16001,F
https://covid19-scoreboard.unacast.com/?view=county&fips=12031,F
https://covid19-scoreboard.unacast.com/?view=county&fips=26099,F
https://covid19-scoreboard.unacast.com/?view=county&fips=55079,F
https://covid19-scoreboard.unacast.com/?view=county&fips=54039,F
https://covid19-scoreboard.unacast.com/?view=county&fips=19153,F
https://covid19-scoreboard.unacast.com/?view=county&fips=47009,F
https://covid19-scoreboard.unacast.com/?view=county&fips=40027,F
https://covid19-scoreboard.unacast.com/?view=county&fips=40143,F
https://covid19-scoreboard.unacast.com/?view=county&fips=29021,F
https://covid19-scoreboard.unacast.com/?view=county&fips=6059,F
https://covid19-scoreboard.unacast.com/?view=county&fips=44007,F
https://covid19-scoreboard.unacast.com/?view=county&fips=6019,F
https://covid19-scoreboard.unacast.com/?view=county&fips=37119,F
https://covid19-scoreboard.unacast.com/?view=county&fips=6111,F
https://covid19-scoreboard.unacast.com/?view=county&fips=48201,F
https://covid19-scoreboard.unacast.com/?view=county&fips=27137,D
https://covid19-scoreboard.unacast.com/?view=county&fips=49035,F
https://covid19-scoreboard.unacast.com/?view=county&fips=32031,D-
https://covid19-scoreboard.unacast.com/?view=county&fips=31109,F
https://covid19-scoreboard.unacast.com/?view=county&fips=33015,F
https://covid19-scoreboard.unacast.com/?view=county&fips=50007,D-
https://covid19-scoreboard.unacast.com/?view=county&fips=04013,F
https://covid19-scoreboard.unacast.com/?view=county&fips=6065,F
https://covid19-scoreboard.unacast.com/?view=county&fips=47157,F
