links_link,links_Grade,links_Mobility,links_Visits
https://covid19-scoreboard.unacast.com/?view=county&fips=23019,D,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=25001,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=9003,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=9009,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=36071,F,D,F
https://covid19-scoreboard.unacast.com/?view=county&fips=36103,F,D,F
https://covid19-scoreboard.unacast.com/?view=county&fips=36091,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=26025,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=42091,D-,D,D
https://covid19-scoreboard.unacast.com/?view=county&fips=46083,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=55025,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=01073,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=47037,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=38017,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=39049,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=21111,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=16001,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=12031,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=26099,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=55079,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=54039,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=19153,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=47009,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=40027,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=40143,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=29021,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=6059,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=44007,F,D,F
https://covid19-scoreboard.unacast.com/?view=county&fips=6019,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=37119,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=6111,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=48201,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=27137,D,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=49035,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=32031,D-,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=31109,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=33015,F,D,F
https://covid19-scoreboard.unacast.com/?view=county&fips=50007,D,C,F
https://covid19-scoreboard.unacast.com/?view=county&fips=04013,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=06065,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=47157,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=13051,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=10003,D-,D,D
https://covid19-scoreboard.unacast.com/?view=county&fips=54003,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=45079,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=28049,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=41035,D+,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=36067,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=24510,D,D,C
https://covid19-scoreboard.unacast.com/?view=county&fips=34001,D-,D,D
https://covid19-scoreboard.unacast.com/?view=county&fips=39021,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=39005,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=39051,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=18167,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=17167,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=19193,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=28023,D,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=20177,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=42043,F,F,D
https://covid19-scoreboard.unacast.com/?view=county&fips=48439,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=18103,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=25013,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=12086,D,C,D
https://covid19-scoreboard.unacast.com/?view=county&fips=34005,F,D,F
https://covid19-scoreboard.unacast.com/?view=county&fips=39155,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=42003,F,F,D
https://covid19-scoreboard.unacast.com/?view=county&fips=27053,D-,D,D
https://covid19-scoreboard.unacast.com/?view=county&fips=13067,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=26001,C,F,-
https://covid19-scoreboard.unacast.com/?view=county&fips=40065,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=47031,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=22015,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=6115,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=8001,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=35009,D,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=12009,F,D,F
https://covid19-scoreboard.unacast.com/?view=county&fips=45019,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=28087,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=55057,D,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=04019,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=10001,F,D,F
https://covid19-scoreboard.unacast.com/?view=county&fips=48441,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=36065,D-,F,D
https://covid19-scoreboard.unacast.com/?view=county&fips=6029,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=12091,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=02090,D+,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=46093,D+,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=53063,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=56021,D-,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=48451,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=38035,D-,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=25017,D,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=15003,D-,C,F
https://covid19-scoreboard.unacast.com/?view=county&fips=49011,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=35035,D+,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=24033,F,D,F
https://covid19-scoreboard.unacast.com/?view=county&fips=02020,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=28047,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=35001,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=48029,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=51199,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=48465,D,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=05119,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=6037,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=04021,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=12057,F,D,F
https://covid19-scoreboard.unacast.com/?view=county&fips=30013,D,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=01101,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=53053,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=20173,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=38101,D-,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=13185,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=16039,D+,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=32003,D-,C,F
https://covid19-scoreboard.unacast.com/?view=county&fips=31153,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=12009,D,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=8041,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=13153,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=17163,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=37191,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=45085,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=48485,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=40109,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=06095,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=12005,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=40047,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=6083,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=29101,F,F,F
https://covid19-scoreboard.unacast.com/?view=county&fips=39057,F,F,F
https://covid19-scoreboard.unacast.com/?view=state&fips=01,F,F,F
https://covid19-scoreboard.unacast.com/?view=state&fips=02,D+,F,F
https://covid19-scoreboard.unacast.com/?view=state&fips=04,F,F,F
https://covid19-scoreboard.unacast.com/?view=state&fips=05,F,F,F
https://covid19-scoreboard.unacast.com/?view=state&fips=06,F,F,F
https://covid19-scoreboard.unacast.com/?view=state&fips=08,D-,F,F
https://covid19-scoreboard.unacast.com/?view=state&fips=09,F,D,F
https://covid19-scoreboard.unacast.com/?view=state&fips=10,F,D,F
https://covid19-scoreboard.unacast.com/?view=state&fips=12,F,D,F
https://covid19-scoreboard.unacast.com/?view=state&fips=13,F,F,F
https://covid19-scoreboard.unacast.com/?view=state&fips=15,D-,C,F
https://covid19-scoreboard.unacast.com/?view=state&fips=16,D,F,F
https://covid19-scoreboard.unacast.com/?view=state&fips=17,F,F,F
https://covid19-scoreboard.unacast.com/?view=state&fips=18,F,F,F
https://covid19-scoreboard.unacast.com/?view=state&fips=19,F,F,F
https://covid19-scoreboard.unacast.com/?view=state&fips=20,D-,F,F
https://covid19-scoreboard.unacast.com/?view=state&fips=21,F,F,F
https://covid19-scoreboard.unacast.com/?view=state&fips=22,F,F,F
https://covid19-scoreboard.unacast.com/?view=state&fips=23,D+,F,F
https://covid19-scoreboard.unacast.com/?view=state&fips=24,F,D,F
https://covid19-scoreboard.unacast.com/?view=state&fips=25,F,D,F
https://covid19-scoreboard.unacast.com/?view=state&fips=26,F,F,F
https://covid19-scoreboard.unacast.com/?view=state&fips=27,D-,F,F
https://covid19-scoreboard.unacast.com/?view=state&fips=28,F,F,F
https://covid19-scoreboard.unacast.com/?view=state&fips=29,F,F,F
https://covid19-scoreboard.unacast.com/?view=state&fips=30,D+,F,F
https://covid19-scoreboard.unacast.com/?view=state&fips=31,D,F,F
https://covid19-scoreboard.unacast.com/?view=state&fips=32,D+,D,F
https://covid19-scoreboard.unacast.com/?view=state&fips=33,D-,D,F
https://covid19-scoreboard.unacast.com/?view=state&fips=34,F,D,F
